物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL
プラシードはやし　I,大分県大分市六坊北町,大分駅,ＪＲ日豊本線/大分駅 歩19分,築8年,2階,1LDK,48.35m2,5.9万円,https://suumo.jp/chintai/jnc_000099578739/?bc=100444703244
グラシア三川,大分県大分市三川下１,高城駅,ＪＲ日豊本線/高城駅 歩19分,築8年,3階,1K,26.4m2,4.5万円,https://suumo.jp/chintai/jnc_000099369641/?bc=100443577256
ドリームガーデン,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩5分
ＪＲ豊肥本線/敷戸駅 歩20分
ＪＲ豊肥本線/中判田駅 歩25分",築4年,2階,1K,28.98m2,4.8万円,https://suumo.jp/chintai/jnc_000096886068/?bc=100424914270
大分バス 森町下 2階建 築27年,大分県大分市森町西２,,大分バス/森町下 歩8分,築27年,2階,2DK,40.23m2,4.5万円,https://suumo.jp/chintai/jnc_000099628828/?bc=100445045051
ＡＬＥＸ５,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩5分
ＪＲ豊肥本線/敷戸駅 歩21分
ＪＲ豊肥本線/中判田駅 歩29分",築6年,2階,1K,26.27m2,4.6万円,https://suumo.jp/chintai/jnc_000099599987/?bc=100444876968
レオパレス鶴崎III,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩12分,築19年,2階,1K,22.35m2,4.9万円,https://suumo.jp/chintai/jnc_000099452989/?bc=100441233737
ハウシアＯＮＥ,大分県大分市大字田尻,敷戸駅,"ＪＲ豊肥本線/敷戸駅 歩31分
ＪＲ豊肥本線/大分大学前駅 歩45分
ＪＲ久大本線/南大分駅 歩53分",築18年,2階,3DK,61.87m2,6.3万円,https://suumo.jp/chintai/jnc_000099609243/?bc=100444904128
アミコート,大分県大分市大字駄原,大分駅,"-/上春日町 歩1分
ＪＲ日豊本線/大分駅 歩22分",築12年,2階,1LDK,36m2,6万円,https://suumo.jp/chintai/jnc_000093469150/?bc=100444885918
ドリームガーデン,大分県大分市大在浜２,大在駅,ＪＲ日豊本線/大在駅 歩16分,築12年,2階,2LDK,63.35m2,7.4万円,https://suumo.jp/chintai/jnc_000099264464/?bc=100443411700
ディアスクレストＢ,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 バス7分 (バス停)横塚東 歩3分
ＪＲ日豊本線/大分駅 バス43分 (バス停)横塚東 歩3分",築28年,2階,2LDK,50.69m2,6万円,https://suumo.jp/chintai/jnc_000086051319/?bc=100437399468
ＪＲ日豊本線 坂ノ市駅 2階建 築28年,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
大分バス/横塚東 歩3分",築28年,2階,2LDK,50.69m2,6万円,https://suumo.jp/chintai/jnc_000098313884/?bc=100445045037
ダイアンサスＫ・I,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築31年,2階,2LDK,54m2,5.9万円,https://suumo.jp/chintai/jnc_000098780728/?bc=100444137217
メルベーユ葛木　Ｂ,大分県大分市大字葛木,,大分バス（株）/大分バス　勝負 歩4分,築33年,2階,2LDK,55.44m2,4.4万円,https://suumo.jp/chintai/jnc_000099264444/?bc=100442921467
グレイスフル　道　Ｍ２,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩12分,新築,2階,1LDK,50.05m2,6.7万円,https://suumo.jp/chintai/jnc_000099593616/?bc=100444817101
グレイスフル　道　Ｍ３,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩12分,新築,2階,1LDK,50.14m2,6.7万円,https://suumo.jp/chintai/jnc_000099593636/?bc=100444817099
SーFORT大分大手町,大分県大分市大手町１,大分駅,"ＪＲ日豊本線/大分駅 歩12分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/牧駅 歩36分",築9年,5階,ワンルーム,25.88m2,4.75万円,https://suumo.jp/chintai/jnc_000099237129/?bc=100427014802
マリアナオ・Ｎ　II,大分県大分市大字関園,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス6分 (バス停)常行北 歩5分,築10年,2階,2LDK,56.68m2,5.7万円,https://suumo.jp/chintai/jnc_000099502722/?bc=100444606155
Attrese東浜,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩21分,築9年,2階,2LDK,59.8m2,7.3万円,https://suumo.jp/chintai/jnc_000099599988/?bc=100444882274
ＪＲ日豊本線 大分駅 2階建 築22年,大分県大分市六坊北町,大分駅,ＪＲ日豊本線/大分駅 歩12分,築22年,2階,1LDK,44.72m2,6万円,https://suumo.jp/chintai/jnc_000099397803/?bc=100445045038
ディアス後藤II,大分県大分市六坊北町,大分駅,"ＪＲ日豊本線/大分駅 歩14分
ＪＲ久大本線/古国府駅 歩21分
ＪＲ日豊本線/牧駅 バス15分 (バス停)大分駅前 歩14分",築22年,2階,1LDK,44.72m2,6万円,https://suumo.jp/chintai/jnc_000099193197/?bc=100442544482
ユナイテッド新貝,大分県大分市新貝,高城駅,ＪＲ日豊本線/高城駅 歩25分,築39年,3階,3K,46.55m2,4.8万円,https://suumo.jp/chintai/jnc_000099615591/?bc=100404878708
野うさぎＧＡＲＤＥＮ,大分県大分市碩田町２,大分駅,ＪＲ久大本線/大分駅 歩28分,築23年,3階,3DK,53m2,6.1万円,https://suumo.jp/chintai/jnc_000099619952/?bc=100445000573
グランシャリオ　Ｄ棟,大分県大分市下郡山の手,牧駅,ＪＲ日豊本線/牧駅 歩28分,築21年,2階,2LDK,53.28m2,6.3万円,https://suumo.jp/chintai/jnc_000099205638/?bc=100443840992
プランドール汐見,大分県大分市汐見２,大在駅,"ＪＲ日豊本線/大在駅 歩22分
ＪＲ日豊本線/坂ノ市駅 歩26分
ＪＲ日豊本線/鶴崎駅 歩68分",築3年,3階,1LDK,42.63m2,6.1万円,https://suumo.jp/chintai/jnc_000099361106/?bc=100439477857
モンペルジュ,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩10分
大分バス（株）/大分バス　加納バス停 歩1分",築8年,3階,1LDK,44.62m2,6.7万円,https://suumo.jp/chintai/jnc_000084289541/?bc=100442725332
プリシェールツカハラIII,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩27分
ＪＲ日豊本線/大分駅 バス25分 (バス停)だいかく病院前 歩2分",築18年,2階,1LDK,42.59m2,6万円,https://suumo.jp/chintai/jnc_000099390711/?bc=100444067612
ペアーレ葛木　Ｂ棟,大分県大分市大字葛木,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩47分,築27年,2階,2LDK,50.6m2,4.85万円,https://suumo.jp/chintai/jnc_000078603757/?bc=100440947583
ＪＲ日豊本線 高城駅 2階建 築27年,大分県大分市大字葛木,高城駅,"ＪＲ日豊本線/高城駅 歩49分
大分バス/殉教公園前 歩7分",築27年,2階,2LDK,50.6m2,4.85万円,https://suumo.jp/chintai/jnc_000099397772/?bc=100445045031
ソラリア・コルテ,大分県大分市三ケ田町２,南大分駅,ＪＲ久大本線/南大分駅 歩10分,築38年,10階,2SLDK,50m2,4.5万円,https://suumo.jp/chintai/jnc_000063836594/?bc=100444637261
ボヌール羽屋Ｇ,大分県大分市羽屋３,古国府駅,"ＪＲ久大本線/古国府駅 歩19分
ＪＲ久大本線/南大分駅 歩25分
ＪＲ日豊本線/大分駅 バス13分 (バス停)稲葉 歩8分",築20年,2階,2LDK,54.81m2,6.95万円,https://suumo.jp/chintai/jnc_000099321736/?bc=100443843948
ニューホープ２１,大分県大分市萩原４,大分駅,"ＪＲ日豊本線/大分駅 歩19分
ＪＲ日豊本線/高城駅 歩19分
ＪＲ日豊本線/牧駅 歩19分",築27年,3階,2DK,47.61m2,4.55万円,https://suumo.jp/chintai/jnc_000099345150/?bc=100443895607
ＪＲ日豊本線 高城駅 4階建 築7年,大分県大分市大字森,高城駅,ＪＲ日豊本線/高城駅 歩46分,築7年,4階,1LDK,41.6m2,5.4万円,https://suumo.jp/chintai/jnc_000099619961/?bc=100445000908
ディアス豊府　Ｂ棟,大分県大分市羽屋３,古国府駅,"ＪＲ久大本線/古国府駅 歩16分
ＪＲ日豊本線/大分駅 バス10分 (バス停)羽屋新町 歩9分
ＪＲ豊肥本線/敷戸駅 バス11分 (バス停)羽屋新町 歩9分",築27年,2階,2LDK,54.81m2,6.5万円,https://suumo.jp/chintai/jnc_000099578745/?bc=100444963116
ディアス豊府　Ｂ棟,大分県大分市大字羽屋,古国府駅,"ＪＲ久大本線/古国府駅 歩16分
ＪＲ久大本線/南大分駅 歩24分
大分バス/羽屋新町 歩9分",築27年,2階,2LDK,54.81m2,6.5万円,https://suumo.jp/chintai/jnc_000099619954/?bc=100445000694
PREMILIFE政所　II棟,大分県大分市政所１,大在駅,ＪＲ日豊本線/大在駅 歩9分,築1年,3階,2LDK,53.77m2,7.8万円,https://suumo.jp/chintai/jnc_000093195933/?bc=100399631536
プレジール安東,大分県大分市大字田尻,敷戸駅,"ＪＲ豊肥本線/敷戸駅 歩30分
ＪＲ豊肥本線/大分大学前駅 歩45分
ＪＲ久大本線/南大分駅 歩50分",築34年,2階,2LDK,54m2,5万円,https://suumo.jp/chintai/jnc_000093884292/?bc=100364209982
ソレーユ森町　Ａ棟,大分県大分市大字森町,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩22分,築27年,2階,2LDK,53.16m2,5.6万円,https://suumo.jp/chintai/jnc_000043615056/?bc=100443792476
イマサモルゲン．II,大分県大分市中島東２,大分駅,ＪＲ日豊本線/大分駅 歩25分,築8年,11階,1DK,30.41m2,5万円,https://suumo.jp/chintai/jnc_000082389341/?bc=100439018853
ワイズ・スクエア・津守,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩6分,新築,2階,1LDK,50.01m2,7.1万円,https://suumo.jp/chintai/jnc_000098398198/?bc=100436507856
エミネンス高砂,大分県大分市高砂町,大分駅,"ＪＲ日豊本線/大分駅 歩13分
ＪＲ日豊本線/西大分駅 歩27分
ＪＲ久大本線/古国府駅 歩36分",築25年,8階,1K,25m2,4.5万円,https://suumo.jp/chintai/jnc_000097807053/?bc=100431650224
プティ・シャンブル,大分県大分市大道町２,大分駅,ＪＲ日豊本線/大分駅 歩7分,築8年,4階,ワンルーム,27.35m2,5.1万円,https://suumo.jp/chintai/jnc_000032074174/?bc=100444256900
レオパレス才賀,大分県大分市賀来西１,賀来駅,ＪＲ久大本線/賀来駅 歩13分,築19年,2階,1K,21.81m2,3.3万円,https://suumo.jp/chintai/jnc_000097253179/?bc=100365601542
アディーヒルズ,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩6分
ＪＲ豊肥本線/敷戸駅 歩24分
ＪＲ豊肥本線/中判田駅 歩51分",築17年,3階,1K,28m2,4.1万円,https://suumo.jp/chintai/jnc_000097288507/?bc=100427641614
プランタン　ベルＢ,大分県大分市大字駄原,大分駅,ＪＲ日豊本線/大分駅 歩21分,築15年,2階,1K,32.9m2,4.5万円,https://suumo.jp/chintai/jnc_000099345141/?bc=100444325043
ネオブリック,大分県大分市三川上４,高城駅,ＪＲ日豊本線/高城駅 歩19分,築23年,2階,1DK,32.33m2,4.25万円,https://suumo.jp/chintai/jnc_000098738857/?bc=100442011939
カルム市原Ｃ,大分県大分市大字葛木,高城駅,ＪＲ日豊本線/高城駅 歩51分,築15年,2階,2DK,45.39m2,4.4万円,https://suumo.jp/chintai/jnc_000099593609/?bc=100393068627
アラモアナ　Ｂ棟,大分県大分市新川町２,大分駅,ＪＲ日豊本線/大分駅 歩24分,築16年,2階,1LDK,41.28m2,6.5万円,https://suumo.jp/chintai/jnc_000098428908/?bc=100441953209
大分バス 一本松ＯＡＢ前 2階建 築16年,大分県大分市新川町２,,大分バス/一本松ＯＡＢ前 歩3分,築16年,2階,1LDK,40.69m2,6.7万円,https://suumo.jp/chintai/jnc_000099628805/?bc=100445045072
セントポーリア松ヶ丘,大分県大分市大字上宗方,南大分駅,"ＪＲ久大本線/南大分駅 歩32分
大分バス/松ヶ丘中央 歩6分",築27年,2階,2LDK,54.81m2,5.9万円,https://suumo.jp/chintai/jnc_000099587443/?bc=100444962911
レオパレスサザンウッド,大分県大分市賀来西１,賀来駅,ＪＲ久大本線/賀来駅 歩6分,築17年,2階,1K,23.61m2,4.1万円,https://suumo.jp/chintai/jnc_000099292303/?bc=100425802919
コンフォールコートＢ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 バス7分 (バス停)坂ノ市駅入口 歩7分
ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)坂ノ市 歩12分",築23年,2階,2DK,42.77m2,3.65万円,https://suumo.jp/chintai/jnc_000099309047/?bc=100443358376
セントラルコート大分駅前,大分県大分市金池町１,大分駅,ＪＲ日豊本線/大分駅 歩3分,築15年,10階,1K,26.42m2,5.5万円,https://suumo.jp/chintai/jnc_000099619937/?bc=100445000135
プロニティ千,大分県大分市賀来南２,賀来駅,"ＪＲ久大本線/賀来駅 歩4分
ＪＲ日豊本線/大分駅 バス20分 (バス停)桑原上 歩5分",築21年,2階,1K,30.96m2,4.5万円,https://suumo.jp/chintai/jnc_000097788419/?bc=100435660380
ＪＲ日豊本線 高城駅 2階建 築33年,大分県大分市萩原３,高城駅,"ＪＲ日豊本線/高城駅 歩14分
ＪＲ日豊本線/牧駅 歩15分
大分バス/萩原 歩4分",築33年,2階,3DK,54.64m2,6.5万円,https://suumo.jp/chintai/jnc_000099628824/?bc=100445045029
エレガント由布,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩20分
ＪＲ日豊本線/大分駅 バス18分 (バス停)桑原下 歩4分",築16年,2階,1K,25.25m2,3.9万円,https://suumo.jp/chintai/jnc_000099331529/?bc=100443675232
ラ・ルース若宮　Ａ,大分県大分市大字森,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)森 歩4分
ＪＲ日豊本線/大分駅 バス32分 (バス停)森 歩4分",築14年,2階,2LDK,68.12m2,6.7万円,https://suumo.jp/chintai/jnc_000098899565/?bc=100443895588
ティファーノ西大道Ｂ,大分県大分市西大道１,大分駅,"ＪＲ日豊本線/大分駅 歩15分
ＪＲ日豊本線/西大分駅 歩28分
ＪＲ久大本線/南大分駅 バス6分 (バス停)大道４丁目 歩4分",築16年,2階,1LDK,47.61m2,7.4万円,https://suumo.jp/chintai/jnc_000099516842/?bc=100444732050
ヴィヴレ萩原,大分県大分市萩原３,高城駅,"ＪＲ日豊本線/高城駅 歩14分
ＪＲ日豊本線/牧駅 歩15分",築33年,2階,2LDK,54.64m2,6.5万円,https://suumo.jp/chintai/jnc_000099302590/?bc=100443840990
フローラ羽屋,大分県大分市上田町２,古国府駅,ＪＲ久大本線/古国府駅 歩25分,築13年,3階,ワンルーム,29.66m2,4.4万円,https://suumo.jp/chintai/jnc_000072284124/?bc=100445000113
ＪＲ久大本線 大分駅 2階建 築16年,大分県大分市西大道１,大分駅,"ＪＲ久大本線/大分駅 歩16分
大分バス/大道四丁目 歩4分",築16年,2階,1LDK,47.61m2,7.4万円,https://suumo.jp/chintai/jnc_000099628827/?bc=100445045044
レオパレスＫ＆Ｋ,大分県大分市南太平寺３,古国府駅,ＪＲ久大本線/古国府駅 歩9分,築20年,2階,1K,22.35m2,3.7万円,https://suumo.jp/chintai/jnc_000082106856/?bc=100210468653
ＳＥＲＥＮＩＴＹ　ＲＥＳＴ,大分県大分市東原３,高城駅,ＪＲ日豊本線/高城駅 歩19分,築2年,2階,2LDK,57.55m2,7.9万円,https://suumo.jp/chintai/jnc_000099578731/?bc=100444703262
ソシアコート荏隈,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩9分
ＪＲ久大本線/賀来駅 歩27分
ＪＲ久大本線/古国府駅 歩38分",築26年,2階,1K,24.92m2,4.6万円,https://suumo.jp/chintai/jnc_000099350362/?bc=100444784845
コーポ越谷パートIII,大分県大分市古国府４,古国府駅,ＪＲ久大本線/古国府駅 歩2分,築37年,5階,1LDK,46.28m2,4.7万円,https://suumo.jp/chintai/jnc_000095644115/?bc=100392804885
ＢＬＤ．ＹＵＷＡ,大分県大分市大字木上,豊後国分駅,"ＪＲ久大本線/豊後国分駅 歩23分
ＪＲ久大本線/賀来駅 歩42分
ＪＲ久大本線/南大分駅 歩49分",築4年,6階,3LDK,44.12m2,9万円,https://suumo.jp/chintai/jnc_000099599985/?bc=100444876853
ＭＡＩＳＯＮ　ＯＨＭＩＣＨＩ,大分県大分市西大道２,大分駅,ＪＲ日豊本線/大分駅 歩18分,築23年,3階,1K,30.09m2,4.2万円,https://suumo.jp/chintai/jnc_000080958201/?bc=100443918081
セントラルパーク横尾Ｂ,大分県大分市大字横尾,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩58分
ＪＲ日豊本線/大分駅 バス25分 (バス停)明野東口 歩4分",築25年,2階,2LDK,58.57m2,5.9万円,https://suumo.jp/chintai/jnc_000099578737/?bc=100444962947
サンシティー富士,大分県大分市王子北町,西大分駅,"ＪＲ日豊本線/西大分駅 歩17分
ＪＲ日豊本線/大分駅 歩24分
ＪＲ久大本線/古国府駅 歩46分",築36年,3階,2DK,39.67m2,4.6万円,https://suumo.jp/chintai/jnc_000041408412/?bc=100443902407
ロイヤルヒルズ金池,大分県大分市金池町３,大分駅,"ＪＲ久大本線/大分駅 歩21分
ＪＲ久大本線/古国府駅 歩28分
ＪＲ日豊本線/牧駅 歩36分",築9年,8階,2LDK,45.1m2,8.3万円,https://suumo.jp/chintai/jnc_000085178187/?bc=100444934371
ティアラA,大分県大分市大字関園,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩49分,新築,3階,1LDK,47.58m2,6.3万円,https://suumo.jp/chintai/jnc_000099619943/?bc=100444942989
セジュールコスモ2,大分県大分市西鶴崎２,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩9分
ＪＲ日豊本線/高城駅 歩36分
ＪＲ日豊本線/大在駅 歩54分",築26年,2階,1K,26.71m2,4.4万円,https://suumo.jp/chintai/jnc_000099381375/?bc=100444541906
ＬＩＺ,大分県大分市新春日町２,大分駅,"ＪＲ日豊本線/大分駅 歩19分
ＪＲ日豊本線/西大分駅 歩24分
ＪＲ久大本線/古国府駅 歩35分",築19年,2階,2LDK,58.84m2,7.8万円,https://suumo.jp/chintai/jnc_000099173921/?bc=100444577583
大野屋ビル,大分県大分市豊海５,大分駅,ＪＲ日豊本線/大分駅 歩46分,築42年,3階,3LDK,64.89m2,4.3万円,https://suumo.jp/chintai/jnc_000096904815/?bc=100444945294
ティアラＢ,大分県大分市大字関園,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩49分,新築,2階,2LDK,61.98m2,8万円,https://suumo.jp/chintai/jnc_000099619949/?bc=100445045016
リファレンス中央町,大分県大分市中央町４,大分駅,"ＪＲ日豊本線/大分駅 歩9分
ＪＲ日豊本線/西大分駅 歩29分
ＪＲ久大本線/古国府駅 歩32分",築19年,15階,ワンルーム,24.75m2,4.2万円,https://suumo.jp/chintai/jnc_000099495038/?bc=100444297151
ソファレ中島,大分県大分市牧２,牧駅,ＪＲ日豊本線/牧駅 歩5分,築37年,2階,2K,42.5m2,5万円,https://suumo.jp/chintai/jnc_000099619962/?bc=100445000109
プレミアム・ラグ勢家,大分県大分市勢家町４,大分駅,ＪＲ日豊本線/大分駅 歩23分,築10年,9階,2LDK,49.98m2,8万円,https://suumo.jp/chintai/jnc_000061992208/?bc=100432115843
トレステーラ下芹,大分県大分市大字市,豊後国分駅,ＪＲ久大本線/豊後国分駅 歩30分,築21年,5階,1K,30.15m2,4.2万円,https://suumo.jp/chintai/jnc_000051588005/?bc=100445001284
ＪＲ久大本線 豊後国分駅 5階建 築21年,大分県大分市大字市,豊後国分駅,ＪＲ久大本線/豊後国分駅 歩30分,築21年,5階,1K,30.15m2,4.2万円,https://suumo.jp/chintai/jnc_000099599980/?bc=100444866426
エスポワールシオン２１,大分県大分市下郡北２,牧駅,"ＪＲ日豊本線/牧駅 歩23分
ＪＲ豊肥本線/滝尾駅 歩30分
ＪＲ日豊本線/大分駅 バス16分 (バス停)下郡 歩2分",築24年,3階,3LDK,65.46m2,8.3万円,https://suumo.jp/chintai/jnc_000099361109/?bc=100437311995
日生第５マンション,大分県大分市大字上宗方,南大分駅,"ＪＲ久大本線/南大分駅 歩34分
ＪＲ久大本線/賀来駅 歩49分
ＪＲ久大本線/豊後国分駅 歩54分",築40年,7階,1K,29.2m2,3.6万円,https://suumo.jp/chintai/jnc_000087172582/?bc=100356860130
クィーンズ　コート,大分県大分市大字三芳,大分駅,ＪＲ日豊本線/大分駅 歩45分,築21年,7階,1DK,33.05m2,4.4万円,https://suumo.jp/chintai/jnc_000099619960/?bc=100445000088
ＰＢＯＸ　ＢＬＤ４５,大分県大分市生石３,西大分駅,ＪＲ日豊本線/西大分駅 歩10分,築48年,5階,2LDK,51.84m2,5.5万円,https://suumo.jp/chintai/jnc_000099593605/?bc=100445001164
ウェルス三ヶ田,大分県大分市三ケ田町３,南大分駅,"ＪＲ久大本線/南大分駅 歩8分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/大分駅 バス11分 (バス停)三ケ田町 歩3分",築24年,3階,1K,25.16m2,3.5万円,https://suumo.jp/chintai/jnc_000096614831/?bc=100434345006
ベルクオーレ,大分県大分市顕徳町１,大分駅,ＪＲ日豊本線/大分駅 歩9分,築7年,10階,2LDK,62.04m2,9.2万円,https://suumo.jp/chintai/jnc_000099615582/?bc=100444983280
シリウス花高松,大分県大分市花高松１,高城駅,ＪＲ日豊本線/高城駅 歩30分,築27年,6階,1DK,28m2,4.1万円,https://suumo.jp/chintai/jnc_000099619953/?bc=100445000094
ユナイテッド羽屋,大分県大分市羽屋新町１,南大分駅,"ＪＲ久大本線/南大分駅 歩16分
ＪＲ久大本線/古国府駅 歩20分
ＪＲ日豊本線/大分駅 歩34分",築35年,5階,1DK,34.47m2,3.85万円,https://suumo.jp/chintai/jnc_000099615596/?bc=100444945300
ヴェルジュ・萩原,大分県大分市萩原１,牧駅,ＪＲ日豊本線/牧駅 歩11分,築27年,4階,1K,25.16m2,3.6万円,https://suumo.jp/chintai/jnc_000098553956/?bc=100438237749
パークサイド久野　II,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩11分,築28年,2階,1K,25.13m2,3.4万円,https://suumo.jp/chintai/jnc_000099010561/?bc=100442491616
マリアルーサ松原,大分県大分市松原町１,高城駅,ＪＲ日豊本線/高城駅 歩13分,築36年,4階,2K,34m2,3.3万円,https://suumo.jp/chintai/jnc_000098087189/?bc=100444945304
シェーンドルフ中津留,大分県大分市中津留２,大分駅,ＪＲ日豊本線/大分駅 バス10分 (バス停)中高校前 歩7分,築26年,4階,1K,25m2,3.8万円,https://suumo.jp/chintai/jnc_000097387845/?bc=100429806197
舞鶴町貸家松本邸,大分県大分市舞鶴町２,大分駅,ＪＲ日豊本線/大分駅 歩30分,築32年,3階,5DK,90.57m2,9万円,https://suumo.jp/chintai/jnc_000099615589/?bc=100444962343
サンセベリア三佐,大分県大分市大字三佐,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩29分
ＪＲ日豊本線/高城駅 車11分(4.2km)
大分バス/八坂 歩8分",築35年,2階,2K,38.5m2,3.75万円,https://suumo.jp/chintai/jnc_000099537576/?bc=100444513140
シティハイツ21,大分県大分市牧３,牧駅,"ＪＲ日豊本線/牧駅 歩11分
バス/萩原 歩2分
バス/新貝 歩6分",築34年,4階,1K,26.6m2,3.4万円,https://suumo.jp/chintai/jnc_000087177563/?bc=100444934179
ベル古国府,大分県大分市古国府６,古国府駅,"ＪＲ久大本線/古国府駅 歩9分
ＪＲ豊肥本線/大分駅 歩29分
ＪＲ日豊本線/大分駅 歩29分",築38年,4階,1DK,28.5m2,3.3万円,https://suumo.jp/chintai/jnc_000099609250/?bc=100444936114
サンライズコート,大分県大分市中島西２,大分駅,ＪＲ日豊本線/大分駅 歩18分,築6年,2階,3LDK,82.75m2,11.5万円,https://suumo.jp/chintai/jnc_000079424837/?bc=100443920407
ヴィルヌーブ,大分県大分市花津留２,牧駅,ＪＲ日豊本線/牧駅 歩8分,築34年,4階,1K,26.46m2,2.9万円,https://suumo.jp/chintai/jnc_000048329939/?bc=100445000065
スカイコート今津留,大分県大分市今津留２,牧駅,ＪＲ日豊本線/牧駅 歩19分,築38年,3階,1K,25m2,3.4万円,https://suumo.jp/chintai/jnc_000080967458/?bc=100444768239
若竹ビル,大分県大分市府内町２,大分駅,ＪＲ日豊本線/大分駅 歩7分,築62年,4階,1LDK,66m2,7.5万円,https://suumo.jp/chintai/jnc_000099628822/?bc=100445045003
ビレッジハウス美園II3号棟,大分県大分市大字中戸次,中判田駅,"ＪＲ豊肥本線/中判田駅 歩41分
ＪＲ豊肥本線/竹中駅 歩58分
ＪＲ豊肥本線/大分大学前駅 歩84分",築54年,5階,2K,33.09m2,3.05万円,https://suumo.jp/chintai/jnc_000099276121/?bc=100442924966
ベレオ西大道,大分県大分市西大道２,大分駅,"ＪＲ日豊本線/大分駅 歩17分
ＪＲ久大本線/古国府駅 歩30分
ＪＲ久大本線/南大分駅 歩29分",築4年,3階,2LDK,65.64m2,13.3万円,https://suumo.jp/chintai/jnc_000079028742/?bc=100429187696
ビレッジハウス美園II７号棟,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 歩44分,築54年,5階,2K,33.51m2,2.7万円,https://suumo.jp/chintai/jnc_000099567107/?bc=100444683822
