物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL
ベルクレール,大分県大分市日岡２,高城駅,ＪＲ日豊本線/高城駅 歩15分,築8年,3階,1K,30.85m2,4.6万円,https://suumo.jp/chintai/jnc_000099292291/?bc=100442680920
ヴィラ・キャレットIII,大分県大分市久原南１,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩14分,築12年,2階,1LDK,46.55m2,4.5万円,https://suumo.jp/chintai/jnc_000099560378/?bc=100440010013
ブリエ・ヴェルジェＣ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩11分,築12年,3階,1SK,31.65m2,4.5万円,https://suumo.jp/chintai/jnc_000097008727/?bc=100425683569
レジェンド,大分県大分市大字角子原,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/鶴崎駅 歩40分",築15年,2階,2LDK,57.07m2,4.8万円,https://suumo.jp/chintai/jnc_000098380344/?bc=100427664795
ＳＨＩＮＹ,大分県大分市坂ノ市西２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築17年,2階,2LDK,58.86m2,4.85万円,https://suumo.jp/chintai/jnc_000098947529/?bc=100399262895
メゾン　ド　ラフレシール　Ｂ,大分県大分市里２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩13分
ＪＲ日豊本線/大在駅 バス7分 (バス停)王の瀬 歩3分
ＪＲ日豊本線/大分駅 バス43分 (バス停)王の瀬 歩3分",築18年,2階,2LDK,58.86m2,4.8万円,https://suumo.jp/chintai/jnc_000090250605/?bc=100429806189
コーリンエステートエビスII,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築14年,2階,2LDK,57.63m2,4.75万円,https://suumo.jp/chintai/jnc_000099136311/?bc=100441893865
秦永ビル,大分県大分市田中町１,南大分駅,"ＪＲ久大本線/南大分駅 歩10分
ＪＲ久大本線/古国府駅 歩26分
ＪＲ日豊本線/大分駅 バス13分 (バス停)田中北 歩4分",築3年,3階,1K,36.96m2,5.45万円,https://suumo.jp/chintai/jnc_000099502746/?bc=100439018529
キャピタルマンション,大分県大分市大字森町,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)森町下 歩8分
ＪＲ日豊本線/高城駅 バス18分 (バス停)森町下 歩8分
ＪＲ日豊本線/大分駅 バス30分 (バス停)森町下 歩8分",築14年,3階,2LDK,55.2m2,5.3万円,https://suumo.jp/chintai/jnc_000067224447/?bc=100445045049
サンコーポＢ棟,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩8分,築28年,3階,3LDK,61.98m2,5万円,https://suumo.jp/chintai/jnc_000067784306/?bc=100444825035
ＪＲ久大本線 古国府駅 2階建 築9年,大分県大分市南太平寺３,古国府駅,ＪＲ久大本線/古国府駅 歩13分,築9年,2階,1LDK,32.44m2,4.9万円,https://suumo.jp/chintai/jnc_000099587459/?bc=100444807323
ヴィラ・キャレット　II,大分県大分市久原中央３,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築18年,2階,2LDK,58.86m2,4.7万円,https://suumo.jp/chintai/jnc_000096604595/?bc=100434107313
サンハイツ　奈良,大分県大分市大字津守,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩14分
ＪＲ久大本線/古国府駅 歩17分",築13年,2階,1LDK,44.86m2,5万円,https://suumo.jp/chintai/jnc_000096022938/?bc=100388376082
グレース・Ｋ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩10分
ＪＲ日豊本線/大在駅 歩42分
ＪＲ日豊本線/幸崎駅 歩62分",築18年,2階,2LDK,54.85m2,4.85万円,https://suumo.jp/chintai/jnc_000099151378/?bc=100442556870
ヒルズ上野,大分県大分市上野丘東,古国府駅,"ＪＲ久大本線/古国府駅 歩12分
大分バス/古国府 歩5分",築7年,2階,1LDK,29.71m2,5万円,https://suumo.jp/chintai/jnc_000098474546/?bc=100443895517
ＪＲ久大本線 古国府駅 2階建 築7年,大分県大分市上野丘東,古国府駅,"ＪＲ久大本線/古国府駅 歩12分
ＪＲ日豊本線/大分駅 バス10分 (バス停)上野 歩2分
ＪＲ豊肥本線/滝尾駅 歩26分",築7年,2階,1LDK,29.71m2,5万円,https://suumo.jp/chintai/jnc_000099397770/?bc=100444067571
ラポワール横田A,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩50分
ＪＲ日豊本線/坂ノ市駅 歩56分",築23年,2階,3DK,54.81m2,4.6万円,https://suumo.jp/chintai/jnc_000098633114/?bc=100443792520
ＪＲ日豊本線 大在駅 2階建 築23年,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/鶴崎駅 バス9分 (バス停)前横田 歩8分
ＪＲ日豊本線/大分駅 バス33分 (バス停)前横田 歩8分",築23年,2階,3DK,54.81m2,4.6万円,https://suumo.jp/chintai/jnc_000098708700/?bc=100444067594
ルミナス坂ノ市　I,大分県大分市坂ノ市中央４,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築12年,2階,2LDK,58.21m2,5.4万円,https://suumo.jp/chintai/jnc_000099136318/?bc=100440172867
アイフィールド山津,大分県大分市山津町１,高城駅,"ＪＲ日豊本線/高城駅 歩16分
ＪＲ日豊本線/鶴崎駅 歩32分",築17年,2階,ワンルーム,32.9m2,4.2万円,https://suumo.jp/chintai/jnc_000096554967/?bc=100437399928
カームリー・メゾンI,大分県大分市汐見１,大在駅,"ＪＲ日豊本線/大在駅 歩16分
ＪＲ日豊本線/坂ノ市駅 バス6分 (バス停)浜天満社前 歩8分
ＪＲ日豊本線/大分駅 バス43分 (バス停)浜天満社前 歩8分",築17年,2階,2LDK,63.86m2,5.2万円,https://suumo.jp/chintai/jnc_000098973143/?bc=100442634562
メゾン　ド　ラフレシール　Ａ,大分県大分市里２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩14分
ＪＲ日豊本線/大在駅 バス7分 (バス停)王の瀬 歩2分
ＪＲ日豊本線/幸崎駅 バス15分 (バス停)王の瀬 歩2分",築18年,2階,2LDK,58.86m2,4.35万円,https://suumo.jp/chintai/jnc_000098990632/?bc=100423041119
グリーンパークＡ,大分県大分市横塚２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩20分
ＪＲ日豊本線/大在駅 歩33分",築18年,2階,2LDK,54.85m2,4.5万円,https://suumo.jp/chintai/jnc_000098453698/?bc=100430324239
チェリーハイム,大分県大分市三佐１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス14分 (バス停)三海橋 歩6分
ＪＲ日豊本線/大分駅 バス26分 (バス停)三海橋 歩6分",築24年,2階,3LDK,65.57m2,5.1万円,https://suumo.jp/chintai/jnc_000098511485/?bc=100419095129
ボヌール,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
ＪＲ日豊本線/牧駅 歩37分
ＪＲ久大本線/古国府駅 歩41分",築15年,2階,2LDK,57.26m2,5.8万円,https://suumo.jp/chintai/jnc_000099502726/?bc=100438699701
ＪＲ豊肥本線 滝尾駅 2階建 築15年,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築15年,2階,2LDK,57.26m2,5.8万円,https://suumo.jp/chintai/jnc_000099587449/?bc=100444807336
ＪＲ日豊本線 鶴崎駅 2階建 築21年,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩7分,築21年,2階,2LDK,51.67m2,5.2万円,https://suumo.jp/chintai/jnc_000090912412/?bc=100383125128
グランパス,大分県大分市下郡南２,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩24分
ＪＲ日豊本線/牧駅 歩31分
ＪＲ久大本線/古国府駅 歩39分",築6年,3階,1SK,36.96m2,5.5万円,https://suumo.jp/chintai/jnc_000097975264/?bc=100442732226
ベルセリスメゾンI,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩15分
ＪＲ久大本線/南大分駅 歩18分",築15年,2階,2DK,46.41m2,5.25万円,https://suumo.jp/chintai/jnc_000099502740/?bc=100440171224
エスペランサ,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩19分
ＪＲ日豊本線/鶴崎駅 歩43分",築20年,2階,2LDK,58.86m2,4.9万円,https://suumo.jp/chintai/jnc_000096798795/?bc=100424903784
フェリーチェ,大分県大分市二又町３,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/大分駅 バス10分 (バス停)羽屋新町 歩2分",築18年,2階,1LDK,40.41m2,5万円,https://suumo.jp/chintai/jnc_000059630311/?bc=100444823439
恵比寿III,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築20年,2階,2LDK,57.22m2,4.7万円,https://suumo.jp/chintai/jnc_000091068482/?bc=100437399947
フォルシュII,大分県大分市三川上４,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/海原橋西 歩6分",築16年,2階,2LDK,58.48m2,5.7万円,https://suumo.jp/chintai/jnc_000098539225/?bc=100438049852
プクラルーチェ,大分県大分市大字猪野,高城駅,"ＪＲ日豊本線/高城駅 歩41分
ＪＲ日豊本線/鶴崎駅 歩47分
ＪＲ日豊本線/牧駅 歩52分",築8年,2階,3LDK,68.87m2,6.7万円,https://suumo.jp/chintai/jnc_000099193186/?bc=100442828178
ＪＲ豊肥本線 滝尾駅 2階建 築9年,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099587450/?bc=100444807315
アイレフ　Ｂ棟,大分県大分市大在浜１,,-/浜天満社前 歩6分,築27年,2階,2LDK,53.26m2,4.95万円,https://suumo.jp/chintai/jnc_000092762441/?bc=100404219666
パークタウン畑中ND,大分県大分市畑中５,大分駅,"ＪＲ豊肥本線/大分駅 歩9分
ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/大分駅 歩9分",築21年,3階,2LDK,51.66m2,5.4万円,https://suumo.jp/chintai/jnc_000069125690/?bc=100444161394
ボヌール,大分県大分市大在北３,大在駅,ＪＲ日豊本線/大在駅 歩24分,築19年,3階,2LDK,56.3m2,5.1万円,https://suumo.jp/chintai/jnc_000099350366/?bc=100405936533
エクセル悦和８,大分県大分市城南北２,南大分駅,ＪＲ久大本線/南大分駅 歩15分,築25年,3階,2LDK,58.59m2,5.2万円,https://suumo.jp/chintai/jnc_000093179200/?bc=100399094010
ハーモニーメゾンI,大分県大分市政所１,大在駅,ＪＲ日豊本線/大在駅 歩7分,築18年,2階,2DK,46.49m2,4.7万円,https://suumo.jp/chintai/jnc_000099502738/?bc=100442011011
クールカーサ,大分県大分市里３,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩20分,築20年,2階,2DK,44.82m2,4.1万円,https://suumo.jp/chintai/jnc_000098518392/?bc=100437460054
シャーメゾン・ハクサンＢ,大分県大分市坂ノ市西２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩18分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000096996502/?bc=100437046917
ベル　プランタン,大分県大分市新栄町,高城駅,ＪＲ日豊本線/高城駅 歩13分,築8年,2階,1LDK,44.66m2,5.45万円,https://suumo.jp/chintai/jnc_000099151376/?bc=100441953154
プランドール小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩31分
ＪＲ日豊本線/牧駅 歩43分",築18年,2階,2LDK,51.15m2,5.1万円,https://suumo.jp/chintai/jnc_000065346137/?bc=100433471646
センチュリー２１Ｃ・Ｄ,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩15分
ＪＲ日豊本線/坂ノ市駅 歩45分
ＪＲ日豊本線/鶴崎駅 歩55分",築23年,2階,2SLDK,74.52m2,5.9万円,https://suumo.jp/chintai/jnc_000099433801/?bc=100443904822
グローリア・Ｈ,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/鶴崎駅 バス8分 (バス停)久保 歩1分
ＪＲ日豊本線/大分駅 バス33分 (バス停)久保 歩1分",築23年,2階,2LDK,58.12m2,4.8万円,https://suumo.jp/chintai/jnc_000097937239/?bc=100434552410
ブレインマンション王ノ瀬,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩37分",築20年,3階,3LDK,68.8m2,6万円,https://suumo.jp/chintai/jnc_000098002335/?bc=100433275978
フェリ－チェ・ルミナス,大分県大分市須賀１,大在駅,ＪＲ日豊本線/大在駅 歩27分,築15年,2階,2LDK,54.4m2,5万円,https://suumo.jp/chintai/jnc_000098947518/?bc=100401142279
ベル・ブーケ　大在,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩38分
ＪＲ日豊本線/坂ノ市駅 歩60分",築12年,2階,2LDK,56.47m2,5.5万円,https://suumo.jp/chintai/jnc_000097079091/?bc=100426260158
エアリ－メゾンII,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,2LDK,61.76m2,5.3万円,https://suumo.jp/chintai/jnc_000098116365/?bc=100434203001
エアリ－メゾンIII,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,2LDK,61.76m2,5.3万円,https://suumo.jp/chintai/jnc_000094334532/?bc=100439896454
ＪＲ日豊本線 牧駅 2階建 築17年,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩22分,築17年,2階,1LDK,42.37m2,4.7万円,https://suumo.jp/chintai/jnc_000081818040/?bc=100444807316
ひらき,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩13分,築16年,2階,1LDK,42.37m2,4.85万円,https://suumo.jp/chintai/jnc_000099502739/?bc=100437504037
エストピア七番館,大分県大分市東鶴崎２,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩14分
ＪＲ日豊本線/大在駅 歩38分
ＪＲ日豊本線/高城駅 歩49分",築4年,3階,1LDK,41.6m2,5.3万円,https://suumo.jp/chintai/jnc_000098906872/?bc=100440970539
セゾンフローラB,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩38分",築15年,2階,2LDK,57.63m2,5.4万円,https://suumo.jp/chintai/jnc_000099502734/?bc=100441963483
ヴィーブルＳ１１,大分県大分市尼が瀬１,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ日豊本線/大分駅 バス14分 (バス停)明磧 歩7分",築24年,2階,3LDK,65.57m2,5.8万円,https://suumo.jp/chintai/jnc_000089154571/?bc=100371236397
エル・フォンティーヌ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩45分
ＪＲ日豊本線/大在駅 歩55分",築15年,2階,2LDK,51.3m2,5.7万円,https://suumo.jp/chintai/jnc_000037673761/?bc=100418133867
ウィルヴィラージュ,大分県大分市志村１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩19分
ＪＲ日豊本線/大在駅 歩30分
ＪＲ日豊本線/高城駅 歩55分",築18年,2階,2LDK,51.3m2,5.3万円,https://suumo.jp/chintai/jnc_000092946186/?bc=100397614506
カ－サ・ブロ－テ,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築18年,2階,2LDK,58.86m2,5.5万円,https://suumo.jp/chintai/jnc_000098990631/?bc=100440748780
ユーミー奥田,大分県大分市明磧町２,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
大分バス/明磧 歩4分
ＪＲ久大本線/賀来駅 歩36分",築13年,4階,1LDK,41.04m2,5.5万円,https://suumo.jp/chintai/jnc_000098889989/?bc=100444361799
スマイル・レジデンス,大分県大分市三佐３,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩16分,築9年,2階,2LDK,57.07m2,5.8万円,https://suumo.jp/chintai/jnc_000098738864/?bc=100439132806
プラシード片島,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩18分,築15年,2階,2DK,45.39m2,4.8万円,https://suumo.jp/chintai/jnc_000098539217/?bc=100429806201
アルシェ・ノイ,大分県大分市横田１,大在駅,ＪＲ日豊本線/大在駅 歩12分,築11年,2階,1LDK,44.97m2,4.95万円,https://suumo.jp/chintai/jnc_000099298356/?bc=100443055988
マリアナオ・Ｈ,大分県大分市王ノ瀬１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩16分
ＪＲ日豊本線/大在駅 歩28分",築13年,2階,2DK,46.06m2,4.65万円,https://suumo.jp/chintai/jnc_000098866330/?bc=100441150560
リオ　グランデ,大分県大分市萩原２,牧駅,ＪＲ日豊本線/牧駅 歩15分,築5年,5階,1LDK,41.6m2,5.2万円,https://suumo.jp/chintai/jnc_000060247390/?bc=100433332028
シャルマン寺崎,大分県大分市寺崎町１,高城駅,ＪＲ日豊本線/高城駅 歩11分,築22年,2階,2LDK,51.67m2,5.1万円,https://suumo.jp/chintai/jnc_000083967081/?bc=100438508380
サンステージ,大分県大分市大字横尾,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)二目川下 歩3分,築20年,7階,2LDK,52.8m2,5.1万円,https://suumo.jp/chintai/jnc_000096642157/?bc=100423066064
グランヴェルデ蓮池,大分県大分市大字城原,大在駅,"ＪＲ日豊本線/大在駅 歩12分
大分バス/曙台入り口停 歩3分",築11年,2階,1LDK,36m2,5万円,https://suumo.jp/chintai/jnc_000098329238/?bc=100437007584
アンジュ・ココ,大分県大分市大字三佐,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩24分,築11年,2階,2DK,50.33m2,4.85万円,https://suumo.jp/chintai/jnc_000099106448/?bc=100441669021
ヴェルジュ．Ｓ２,大分県大分市大字曲,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築15年,2階,2DK,45.39m2,4.9万円,https://suumo.jp/chintai/jnc_000099151374/?bc=100442283733
プランドールＭＥＲＡ,大分県大分市大字片島,,バス/滝尾保養院前 歩4分,築12年,2階,2LDK,51.66m2,5.8万円,https://suumo.jp/chintai/jnc_000099072108/?bc=100442993435
オレンジハイツ２,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩25分
ＪＲ日豊本線/鶴崎駅 歩44分
ＪＲ日豊本線/坂ノ市駅 歩61分",築17年,2階,1LDK,46.49m2,4.65万円,https://suumo.jp/chintai/jnc_000097870678/?bc=100433144205
プチハウスII,大分県大分市大字松岡,中判田駅,"ＪＲ豊肥本線/中判田駅 バス7分 (バス停)東芝工場正門 歩2分
ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)東芝工場正門 歩2分",築26年,2階,2LDK,52m2,4.5万円,https://suumo.jp/chintai/jnc_000099151375/?bc=100442679642
サンシャイン７,大分県大分市須賀２,大在駅,ＪＲ日豊本線/大在駅 歩28分,築18年,3階,3DK,60.97m2,6万円,https://suumo.jp/chintai/jnc_000014857625/?bc=100364600777
Sungrace Casa,大分県大分市高城本町,高城駅,"ＪＲ日豊本線/高城駅 歩4分
ＪＲ日豊本線/牧駅 歩26分",築10年,6階,1LDK,32.33m2,5万円,https://suumo.jp/chintai/jnc_000098866316/?bc=100441857103
ブルースカイ,大分県大分市大在北４,大在駅,"ＪＲ日豊本線/大在駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩49分
ＪＲ日豊本線/坂ノ市駅 歩57分",築13年,2階,2LDK,51.66m2,5.6万円,https://suumo.jp/chintai/jnc_000046634738/?bc=100417406581
ヴィータセレーナ西大道,大分県大分市西大道１,大分駅,"ＪＲ久大本線/大分駅 歩17分
ＪＲ豊肥本線/大分駅 歩17分
ＪＲ日豊本線/大分駅 歩17分",築9年,5階,1LDK,31.5m2,5.6万円,https://suumo.jp/chintai/jnc_000099502742/?bc=100444343051
コンフォート小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩18分
大分バス/小池原 歩1分",築10年,2階,1LDK,33.13m2,4.9万円,https://suumo.jp/chintai/jnc_000049080794/?bc=100432992187
アライブ・ＴII,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 バス4分 (バス停)小池原 歩4分
ＪＲ日豊本線/大分駅 バス27分 (バス停)小池原 歩4分",築9年,2階,1LDK,36.41m2,4.8万円,https://suumo.jp/chintai/jnc_000099390710/?bc=100396847154
プリンセス　フィールズ,大分県大分市汐見２,大在駅,"ＪＲ日豊本線/大在駅 歩24分
ＪＲ日豊本線/坂ノ市駅 バス5分 (バス停)浜東 歩1分
ＪＲ日豊本線/鶴崎駅 バス16分 (バス停)浜東 歩1分",築13年,2階,2LDK,61m2,5.45万円,https://suumo.jp/chintai/jnc_000097667514/?bc=100430315963
ロゼア鶴崎WEST,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩12分,築1年,5階,1LDK,42.5m2,5.3万円,https://suumo.jp/chintai/jnc_000096380474/?bc=100442127013
ＥＶＡ－０１,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/鶴崎駅 歩45分",築15年,2階,2LDK,60.33m2,5.5万円,https://suumo.jp/chintai/jnc_000099502735/?bc=100441963491
シーウィンド1,大分県大分市大在浜２,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/坂ノ市駅 歩31分
ＪＲ日豊本線/鶴崎駅 歩63分",築17年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000016280028/?bc=100437311675
エンカウンター,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩14分,築19年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000052207599/?bc=100433331941
エンシーナ,大分県大分市仲西町１,高城駅,"ＪＲ日豊本線/高城駅 歩18分
ＪＲ日豊本線/牧駅 歩33分
ＪＲ日豊本線/鶴崎駅 歩36分",築28年,3階,3DK,51.73m2,4.5万円,https://suumo.jp/chintai/jnc_000083783183/?bc=100336412357
マリアージュ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩13分
ＪＲ日豊本線/高城駅 歩43分
ＪＲ日豊本線/大在駅 歩54分",築8年,2階,1LDK,44.89m2,5.2万円,https://suumo.jp/chintai/jnc_000028033357/?bc=100435877256
カルム市原Ａ,大分県大分市大字葛木,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス12分 (バス停)葛木入口 歩4分,築15年,2階,2DK,45.39m2,4.6万円,https://suumo.jp/chintai/jnc_000099298329/?bc=100443918095
エミネスタウンＳーII,大分県大分市横尾東町４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)西寺 歩3分
ＪＲ日豊本線/大分駅 バス29分 (バス停)葛木入口 歩14分",築14年,2階,1LDK,42.19m2,4.75万円,https://suumo.jp/chintai/jnc_000099215304/?bc=100443060572
ドゥーメゾン,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000097316968/?bc=100430974945
ＪＲ豊肥本線 大分大学前駅 2階建 築20年,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000099433752/?bc=100444067567
ニューサカエールI,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 バス3分 (バス停)久保 歩10分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)久保 歩10分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)久保 歩10分",築17年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000098354796/?bc=100424306287
グラシア寺崎,大分県大分市寺崎町２,高城駅,"ＪＲ日豊本線/高城駅 歩16分
大分バス/山津 歩3分",築6年,3階,1LDK,39.43m2,5.8万円,https://suumo.jp/chintai/jnc_000098915535/?bc=100440208799
サニーガーデンＢ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,2LDK,57.07m2,5.3万円,https://suumo.jp/chintai/jnc_000098850944/?bc=100439653151
エクセル野田,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/高城駅 歩33分
ＪＲ久大本線/大分駅 歩35分",築30年,4階,2LDK,54.86m2,5.1万円,https://suumo.jp/chintai/jnc_000099369634/?bc=100263547494
クラージュ　ＫｏＭｅＴａＫｅ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/小池原 歩4分",築9年,2階,1LDK,36m2,4.8万円,https://suumo.jp/chintai/jnc_000014853621/?bc=100437715762
エトワールＯＺ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩19分,築23年,2階,2LDK,59.39m2,5万円,https://suumo.jp/chintai/jnc_000089763054/?bc=100434350121
イーメゾンもりおかI,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩9分,築9年,2階,2LDK,57.21m2,5.9万円,https://suumo.jp/chintai/jnc_000098850955/?bc=100439721000
スターテラス　小池原II,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
大分バス/小池原停 歩1分",築16年,2階,1LDK,44.52m2,4.9万円,https://suumo.jp/chintai/jnc_000080879488/?bc=100436313121
