物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名,家賃_per_㎡,log_家賃_per_㎡
ミーティア皆春,大分県大分市大字皆春皆春,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩14分,築3年,3階,1LDK,41.85m2,6.2万円,https://suumo.jp/chintai/jnc_000099609246/?bc=100444885901,3,41.85,6.2,14,鶴崎駅,0.14814814814814814,-1.9095425048844386
Ｔａｓｋ　III,大分県大分市上宗方南１,賀来駅,ＪＲ久大本線/賀来駅 バス15分 (バス停)椿ヶ丘団地入口 歩1分,築5年,2階,1K,32.23m2,5.1万円,https://suumo.jp/chintai/jnc_000099546248/?bc=100444733184,5,32.23,5.1,1,賀来駅,0.15823766677009,-1.8436571560970663
高城マナ－ハウス,大分県大分市高城西町,高城駅,ＪＲ日豊本線/高城駅 歩3分,築26年,6階,1K,25m2,4万円,https://suumo.jp/chintai/jnc_000099215299/?bc=100442367888,26,25.0,4.0,3,高城駅,0.16,-1.8325814637483102
リファレンス城崎,大分県大分市城崎町１,大分駅,"ＪＲ日豊本線/大分駅 歩19分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩33分",築35年,14階,2LDK,72m2,9.6万円,https://suumo.jp/chintai/jnc_000095578031/?bc=100438632371,35,72.0,9.6,19,大分駅,0.13333333333333333,-2.0149030205422647
Park Avenue EAST,大分県大分市東大道２,大分駅,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩20分
ＪＲ久大本線/南大分駅 歩34分",築4年,14階,ワンルーム,35.03m2,7.4万円,https://suumo.jp/chintai/jnc_000069223835/?bc=100425097009,4,35.03,7.4,7,大分駅,0.21124750214102198,-1.5547248369992714
リベラＥＳＴ,大分県大分市東鶴崎１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩14分,築25年,2階,3LDK,65m2,4.5万円,https://suumo.jp/chintai/jnc_000083989920/?bc=100444699467,25,65.0,4.5,14,鶴崎駅,0.06923076923076923,-2.670309873119363
グリーンパークＣ,大分県大分市横塚２,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/坂ノ市駅 歩20分",築18年,2階,2LDK,54.85m2,4.7万円,https://suumo.jp/chintai/jnc_000099309048/?bc=100443675253,18,54.85,4.7,17,大在駅,0.08568824065633546,-2.4570396780052266
チョコレート　コート,大分県大分市大在北４,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 バス8分 (バス停)北公園前 歩9分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)北公園前 歩9分",築17年,2階,1LDK,46.49m2,4.7万円,https://suumo.jp/chintai/jnc_000097543834/?bc=100437312035,17,46.49,4.7,20,大在駅,0.10109701010970101,-2.2916747269864803
ジュネス　ヴィラ　Ｔ,大分県大分市南太平寺３,古国府駅,"ＪＲ久大本線/古国府駅 歩13分
ＪＲ久大本線/南大分駅 歩22分",築9年,2階,1LDK,32.44m2,4.9万円,https://suumo.jp/chintai/jnc_000099309050/?bc=100443357293,9,32.44,4.9,13,古国府駅,0.15104808877928486,-1.8901570241306311
グレイス　ヴィラII,大分県大分市大在北３,,大分バス/久保 歩10分,築17年,2階,2LDK,57.33m2,5.6万円,https://suumo.jp/chintai/jnc_000096419966/?bc=100407735539,17,57.33,5.6,10,,0.09768009768009768,-2.3260574491791877
サクラ　リア,大分県大分市三川上１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩18分,築9年,2階,1LDK,40.09m2,4.9万円,https://suumo.jp/chintai/jnc_000099485876/?bc=100397433136,9,40.09,4.9,18,鶴崎駅,0.12222499376403093,-2.1018917215378345
グレイスフル蔵Ｂ,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩9分,築15年,2階,1LDK,45.72m2,4.95万円,https://suumo.jp/chintai/jnc_000099523592/?bc=100444699461,15,45.72,4.95,9,大在駅,0.10826771653543307,-2.223148262346011
オーブ,大分県大分市大字津留,牧駅,ＪＲ日豊本線/牧駅 歩15分,築14年,2階,1LDK,42.8m2,5.15万円,https://suumo.jp/chintai/jnc_000099361098/?bc=100443557384,14,42.8,5.15,15,牧駅,0.12032710280373833,-2.117541387912106
ユニヴァリィ　イノバル,大分県大分市大字猪野,,大分バス/猪野下 歩4分,築14年,2階,2LDK,58.51m2,5.6万円,https://suumo.jp/chintai/jnc_000099475714/?bc=100444156102,14,58.51,5.6,4,,0.09571013501965475,-2.3464310820590413
リバーサイド百笑　I,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩27分,築6年,2階,2LDK,61.3m2,5.45万円,https://suumo.jp/chintai/jnc_000099495037/?bc=100444255180,6,61.3,5.45,27,坂ノ市駅,0.08890701468189234,-2.420164234267013
シャーメゾン王ノ瀬　Ａ棟,大分県大分市王ノ瀬１,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩18分,築26年,2階,3DK,54.34m2,4.8万円,https://suumo.jp/chintai/jnc_000098267728/?bc=100434429394,26,54.34,4.8,18,坂ノ市駅,0.08833271991166727,-2.4266446860843565
プロスペリタ,大分県大分市大字下徳丸,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩56分
ＪＲ日豊本線/大在駅 歩82分
ＪＲ日豊本線/高城駅 歩78分",築11年,2階,1LDK,44.95m2,4.8万円,https://suumo.jp/chintai/jnc_000016202523/?bc=100436585037,11,44.95,4.8,56,鶴崎駅,0.10678531701890989,-2.2369348430037843
シャーメゾン・ハクサン　Ｂ棟,大分県大分市大字坂ノ市,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
大分バス/坂ノ市 歩2分",築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000098453688/?bc=100445001295,20,57.81,5.6,17,坂ノ市駅,0.09686905379692094,-2.3343951733532813
ＣＯＲＩＮ大在,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩18分,築16年,7階,2LDK,58.03m2,6万円,https://suumo.jp/chintai/jnc_000082221926/?bc=100432345708,16,58.03,6.0,18,大在駅,0.1033947957952783,-2.269200648974462
アルメール,大分県大分市志村１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩22分,築13年,2階,1LDK,45.07m2,4.95万円,https://suumo.jp/chintai/jnc_000098973144/?bc=100443059646,13,45.07,4.95,22,鶴崎駅,0.10982915464832484,-2.208829260121958
サンリバー,大分県大分市高松東３,高城駅,ＪＲ日豊本線/高城駅 歩13分,築6年,2階,1LDK,43.21m2,5.5万円,https://suumo.jp/chintai/jnc_000082152040/?bc=100444177552,6,43.21,5.5,13,高城駅,0.12728535061328397,-2.0613238577054167
ベル　ブローテ,大分県大分市新栄町,高城駅,"ＪＲ日豊本線/高城駅 歩11分
ＪＲ日豊本線/牧駅 歩20分
ＪＲ日豊本線/大分駅 バス17分 (バス停)新貝 歩3分",築3年,5階,1LDK,41.6m2,5.5万円,https://suumo.jp/chintai/jnc_000099593614/?bc=100444962916,3,41.6,5.5,11,高城駅,0.13221153846153846,-2.0233520750287926
カナージュ　１０,大分県大分市古国府５,古国府駅,ＪＲ久大本線/古国府駅 歩12分,築13年,3階,1SK,31.65m2,4.8万円,https://suumo.jp/chintai/jnc_000099292307/?bc=100436507846,13,31.65,4.8,12,古国府駅,0.15165876777251186,-1.8861222306763399
クオーレ津守,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築7年,4階,1LDK,41.6m2,5.4万円,https://suumo.jp/chintai/jnc_000099173923/?bc=100442808954,7,41.6,5.4,10,滝尾駅,0.12980769230769232,-2.0417012136969888
ホワイトライト,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩10分
ＪＲ日豊本線/高城駅 歩32分
ＪＲ日豊本線/大分駅 歩34分",築11年,8階,1DK,30.03m2,4.5万円,https://suumo.jp/chintai/jnc_000097823295/?bc=100431802639,11,30.03,4.5,10,牧駅,0.14985014985014986,-1.898119485218965
クオーレ日岡,大分県大分市日岡２,高城駅,ＪＲ日豊本線/高城駅 歩15分,築4年,5階,1LDK,41.6m2,5.7万円,https://suumo.jp/chintai/jnc_000099369640/?bc=100444305829,4,41.6,5.7,15,高城駅,0.13701923076923078,-1.987633992426713
ペパーミント,大分県大分市大字三芳,大分駅,"ＪＲ日豊本線/大分駅 歩17分
ＪＲ久大本線/古国府駅 歩25分
ＪＲ久大本線/南大分駅 歩31分",築10年,6階,1DK,30.36m2,4.8万円,https://suumo.jp/chintai/jnc_000097114388/?bc=100426439944,10,30.36,4.8,17,大分駅,0.15810276679841898,-1.8445100346135839
G　PLACE　南津留,大分県大分市南津留,牧駅,"ＪＲ日豊本線/牧駅 歩17分
ＪＲ日豊本線/大分駅 歩32分
ＪＲ日豊本線/高城駅 歩39分",築7年,4階,1LDK,41.6m2,5.5万円,https://suumo.jp/chintai/jnc_000099222706/?bc=100442450892,7,41.6,5.5,17,牧駅,0.13221153846153846,-2.0233520750287926
カ－サグレイスＢ,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 歩24分,築21年,2階,2LDK,50.14m2,4.7万円,https://suumo.jp/chintai/jnc_000099495039/?bc=100444699521,21,50.14,4.7,24,中判田駅,0.09373753490227364,-2.367256584014134
ＪＲ久大本線 賀来駅 8階建 築6年,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩20分",築6年,8階,1DK,30.69m2,4.8万円,https://suumo.jp/chintai/jnc_000099599990/?bc=100444866461,6,30.69,4.8,12,賀来駅,0.15640273704789834,-1.8553209507177995
ＪＲ豊肥本線 滝尾駅 2階建 築25年,大分県大分市大字曲,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
大分バス/曲 歩3分",築25年,2階,3DK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000099628823/?bc=100445045048,25,54.81,5.2,20,滝尾駅,0.09487319832147419,-2.3552140334706433
ディアスＨＩＲＯ　V,大分県大分市大字曲,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
ＪＲ豊肥本線/敷戸駅 歩20分
ＪＲ日豊本線/大分駅 バス15分 (バス停)光吉入口 歩10分",築25年,2階,2LDK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000094667760/?bc=100407971691,25,54.81,5.2,20,滝尾駅,0.09487319832147419,-2.3552140334706433
プランドールＡ,大分県大分市大在北２,大在駅,ＪＲ日豊本線/大在駅 歩15分,築19年,2階,1LDK,46.49m2,4.75万円,https://suumo.jp/chintai/jnc_000099284726/?bc=100443918084,19,46.49,4.75,15,大在駅,0.10217251021725102,-2.2810926176559434
ユーミーなでしこ,大分県大分市政所２,大在駅,"ＪＲ日豊本線/大在駅 歩12分
ＪＲ日豊本線/坂ノ市駅 歩39分
ＪＲ日豊本線/鶴崎駅 歩58分",築12年,3階,2LDK,56.85m2,6.5万円,https://suumo.jp/chintai/jnc_000099331527/?bc=100439747350,12,56.85,6.5,12,大在駅,0.11433597185576078,-2.1686140432949537
ホームズ　コンフォールI,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 バス11分 (バス停)鶴崎駅前 歩7分
ＪＲ日豊本線/大分駅 バス26分 (バス停)鶴崎駅前 歩7分",築11年,3階,1K,31.65m2,4.5万円,https://suumo.jp/chintai/jnc_000096268540/?bc=100434350551,11,31.65,4.5,6,鶴崎駅,0.14218009478672985,-1.9506607518139112
ブレーメン　リーベ　II,大分県大分市三川上２,高城駅,"ＪＲ日豊本線/高城駅 歩22分
ＪＲ日豊本線/鶴崎駅 バス5分 (バス停)千才下 歩8分
ＪＲ日豊本線/牧駅 バス15分 (バス停)千才下 歩8分",築11年,2階,2DK,45.82m2,5.2万円,https://suumo.jp/chintai/jnc_000096855346/?bc=100424661732,11,45.82,5.2,22,高城駅,0.11348756001745963,-2.1760620514379676
フローレンス桃園,大分県大分市山津町１,高城駅,"ＪＲ日豊本線/高城駅 歩13分
ＪＲ日豊本線/牧駅 バス10分 (バス停)真光寺 歩4分
ＪＲ日豊本線/大分駅 バス26分 (バス停)真光寺 歩4分",築19年,2階,1LDK,42.8m2,4.7万円,https://suumo.jp/chintai/jnc_000099298349/?bc=100443358522,19,42.8,4.7,13,高城駅,0.10981308411214954,-2.208975593871738
パルジュ鶴崎,大分県大分市三佐４,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩15分,築20年,4階,2LDK,56.7m2,5.7万円,https://suumo.jp/chintai/jnc_000069847818/?bc=100444135302,20,56.7,5.7,15,鶴崎駅,0.10052910052910052,-2.297308035893202
メゾンコナカ　Ｂ棟,大分県大分市大字毛井,,大分バス/片嶺 歩5分,築19年,2階,2LDK,57.81m2,5.9万円,https://suumo.jp/chintai/jnc_000098050833/?bc=100439848486,19,57.81,5.9,5,,0.10205846739318457,-2.282209420182711
Ｍ・ジュールマンション,大分県大分市大字中戸次,中判田駅,"ＪＲ豊肥本線/中判田駅 歩30分
ＪＲ豊肥本線/大分大学前駅 バス11分 (バス停)戸次 歩3分
ＪＲ日豊本線/大分駅 バス35分 (バス停)戸次 歩3分",築16年,3階,3DK,60.97m2,5.8万円,https://suumo.jp/chintai/jnc_000095456438/?bc=100375081186,16,60.97,5.8,30,中判田駅,0.09512875184516975,-2.352524022367351
エトワール,大分県大分市大字奥田南太平寺,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
ＪＲ久大本線/古国府駅 歩17分
ＪＲ久大本線/大分駅 歩30分",築20年,3階,2LDK,56.44m2,6.2万円,https://suumo.jp/chintai/jnc_000099619936/?bc=100444983279,20,56.44,6.2,15,南大分駅,0.10985116938341602,-2.208628834933567
フープ・スター,大分県大分市畑中１,南大分駅,"ＪＲ久大本線/南大分駅 歩27分
ＪＲ久大本線/古国府駅 歩33分
ＪＲ豊肥本線/滝尾駅 歩38分",築7年,2階,1LDK,38.25m2,5.4万円,https://suumo.jp/chintai/jnc_000099350370/?bc=100443578393,7,38.25,5.4,27,南大分駅,0.1411764705882353,-1.957744606702316
アクティブガーデンＡ,大分県大分市汐見２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩22分,築18年,2階,1LDK,46.49m2,4.45万円,https://suumo.jp/chintai/jnc_000099298353/?bc=100443358773,18,46.49,4.45,22,坂ノ市駅,0.09571950957195095,-2.3463331395243445
ＡＢＢＥＹ　ＲＯＡＤ,大分県大分市花高松３,高城駅,"ＪＲ日豊本線/高城駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩44分
ＪＲ日豊本線/牧駅 歩41分",築15年,3階,2LDK,55.2m2,6.4万円,https://suumo.jp/chintai/jnc_000033003362/?bc=100443736998,15,55.2,6.4,20,高城駅,0.11594202898550725,-2.1546649629174235
ディアス城原　B,大分県大分市大字城原,大在駅,"ＪＲ日豊本線/大在駅 歩13分
ＪＲ日豊本線/坂ノ市駅 歩33分",築28年,2階,2LDK,53.14m2,4.2万円,https://suumo.jp/chintai/jnc_000099321729/?bc=100443689353,28,53.14,4.2,13,大在駅,0.07903650733910425,-2.537845415042345
Ｙｏｕ　Ｍｅ　ＬｉｆｅII,大分県大分市大字津守,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩13分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/大分駅 バス23分 (バス停)大分自動車学校入口 歩2分",築4年,5階,1LDK,41.06m2,6万円,https://suumo.jp/chintai/jnc_000099038562/?bc=100441113294,4,41.06,6.0,13,滝尾駅,0.14612761811982464,-1.9232749423627327
セレ－ネ３１０　Ｂ,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩16分
ＪＲ久大本線/古国府駅 歩34分
ＪＲ日豊本線/牧駅 歩37分",築26年,2階,2DK,46.06m2,4.4万円,https://suumo.jp/chintai/jnc_000045070523/?bc=100421357867,26,46.06,4.4,16,滝尾駅,0.09552757273122015,-2.348340353468324
ディアス三川　Ａ棟,大分県大分市三川上１,鶴崎駅,"大分バス/乙津港町 歩8分
ＪＲ日豊本線/鶴崎駅 歩22分
ＪＲ日豊本線/高城駅 歩18分",築29年,2階,2LDK,50.9m2,5.1万円,https://suumo.jp/chintai/jnc_000099516836/?bc=100443689304,29,50.9,5.1,8,鶴崎駅,0.10019646365422397,-2.300622383826197
ｖｉｌｌａ　ｃｏｒｔｉｌｅ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩12分,築25年,2階,2DK,43.99m2,4.4万円,https://suumo.jp/chintai/jnc_000096506090/?bc=100422227384,25,43.99,4.4,12,滝尾駅,0.10002273243919073,-2.302357794436413
マッセル大在,大分県大分市大在浜１,大在駅,"ＪＲ日豊本線/大在駅 歩9分
ＪＲ日豊本線/鶴崎駅 バス14分 (バス停)平野 歩3分
ＪＲ日豊本線/大分駅 バス38分 (バス停)平野 歩3分",築4年,3階,1LDK,44.63m2,5.85万円,https://suumo.jp/chintai/jnc_000099264463/?bc=100442957281,4,44.63,5.85,9,大在駅,0.13107775039211292,-2.0319646173974135
リヴィエール,大分県大分市三川下３,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩28分
ＪＲ日豊本線/高城駅 歩25分
ＪＲ日豊本線/牧駅 歩46分",築21年,2階,2LDK,57.81m2,5.7万円,https://suumo.jp/chintai/jnc_000099276126/?bc=100397994758,21,57.81,5.7,28,鶴崎駅,0.09859885832900882,-2.31669559625388
イル　ソーレ,大分県大分市政所１,大在駅,"ＪＲ日豊本線/大在駅 歩8分
ＪＲ日豊本線/鶴崎駅 歩53分",築5年,3階,1LDK,41.53m2,5.8万円,https://suumo.jp/chintai/jnc_000099502737/?bc=100444345119,5,41.53,5.8,8,大在駅,0.1396580784974717,-1.9685581400902885
グラービアM V,大分県大分市原新町,高城駅,"ＪＲ日豊本線/高城駅 歩12分
ＪＲ日豊本線/牧駅 歩30分",築3年,2階,1K,35m2,4.95万円,https://suumo.jp/chintai/jnc_000099292295/?bc=100427763308,3,35.0,4.95,12,高城駅,0.14142857142857143,-1.9559604849088148
タウンコートＢ,大分県大分市竹下１,大在駅,"ＪＲ日豊本線/大在駅 歩10分
ＪＲ日豊本線/坂ノ市駅 歩36分",築31年,2階,2LDK,54.34m2,5万円,https://suumo.jp/chintai/jnc_000099350369/?bc=100444307473,31,54.34,5.0,10,大在駅,0.09201324990798675,-2.385822691564101
メルベーユ,大分県大分市三佐２,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩18分
大分バス/海原橋東　徒歩７分、　日豊本線 歩7分",築31年,2階,3LDK,61.4m2,5.9万円,https://suumo.jp/chintai/jnc_000098899567/?bc=100441805331,31,61.4,5.9,18,鶴崎駅,0.0960912052117264,-2.342457484241423
ブリッサ恵比寿,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩6分,築14年,2階,2DK,45.39m2,4.35万円,https://suumo.jp/chintai/jnc_000099215302/?bc=100444085091,14,45.39,4.35,6,坂ノ市駅,0.09583608724388631,-2.3451159713677816
プラスパ高畑B,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩39分
ＪＲ日豊本線/大在駅 歩58分",築25年,2階,2LDK,54.29m2,5.8万円,https://suumo.jp/chintai/jnc_000098899564/?bc=100441031841,25,54.29,5.8,16,鶴崎駅,0.10683367102597163,-2.236482130364986
ミーティア皆春,大分県大分市大字皆春,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩14分,築3年,3階,1LDK,41.85m2,6.2万円,https://suumo.jp/chintai/jnc_000099619959/?bc=100445045012,3,41.85,6.2,14,鶴崎駅,0.14814814814814814,-1.9095425048844386
Prosperita片島ｂase,大分県大分市大字片島,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩17分
ＪＲ久大本線/古国府駅 歩33分
ＪＲ日豊本線/牧駅 歩35分",新築,2階,1LDK,50.88m2,6.6万円,https://suumo.jp/chintai/jnc_000097221507/?bc=100444934180,0,50.88,6.6,17,滝尾駅,0.12971698113207547,-2.042400269999487
オレンジＤＡＹＳ　Ｄ,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 バス7分 (バス停)前田 歩7分,築12年,2階,2LDK,57.07m2,5.65万円,https://suumo.jp/chintai/jnc_000099546247/?bc=100444639481,12,57.07,5.65,7,中判田駅,0.09900122656386894,-2.312623039390267
アン・シャトウII,大分県大分市須賀２,大在駅,ＪＲ日豊本線/大在駅 歩30分,築5年,3階,1LDK,44.32m2,6万円,https://suumo.jp/chintai/jnc_000079525614/?bc=100443411701,5,44.32,6.0,30,大在駅,0.13537906137184116,-1.9996765732109734
ヴィラマルベリー　E棟,大分県大分市三川上１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩20分
ＪＲ日豊本線/高城駅 歩27分
ＪＲ日豊本線/牧駅 歩48分",築32年,2階,2LDK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000099205632/?bc=100443511934,32,54.81,5.2,20,鶴崎駅,0.09487319832147419,-2.3552140334706433
ユーミーマンションバウムI号館,大分県大分市大字上宗方,南大分駅,ＪＲ久大本線/南大分駅 歩22分,築14年,3階,1LDK,43.74m2,5.5万円,https://suumo.jp/chintai/jnc_000055690784/?bc=100431523273,14,43.74,5.5,22,南大分駅,0.12574302697759487,-2.0735149230101966
シャーメゾン豊府,大分県大分市大字羽屋,古国府駅,ＪＲ久大本線/古国府駅 歩17分,築16年,2階,1LDK,46.07m2,6万円,https://suumo.jp/chintai/jnc_000088991743/?bc=100442653023,16,46.07,6.0,17,古国府駅,0.13023659648361188,-2.038402509719771
ＪＲ久大本線 古国府駅 2階建 築16年,大分県大分市大字羽屋,古国府駅,"ＪＲ久大本線/古国府駅 歩16分
ＪＲ久大本線/南大分駅 歩24分
大分バス/羽屋新町 歩9分",築16年,2階,1LDK,46.07m2,6万円,https://suumo.jp/chintai/jnc_000099628821/?bc=100445045064,16,46.07,6.0,16,古国府駅,0.13023659648361188,-2.038402509719771
