物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名,家賃_per_㎡,log_家賃_per_㎡
シャルマン寺崎,大分県大分市寺崎町１,高城駅,ＪＲ日豊本線/高城駅 歩11分,築22年,2階,2LDK,51.67m2,5.1万円,https://suumo.jp/chintai/jnc_000083967081/?bc=100438508380,22,51.67,5.1,11,高城駅,0.09870330946390554,-2.315636802568813
サンステージ,大分県大分市大字横尾,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)二目川下 歩3分,築20年,7階,2LDK,52.8m2,5.1万円,https://suumo.jp/chintai/jnc_000096642157/?bc=100423066064,20,52.8,5.1,3,高城駅,0.09659090909090909,-2.3372706509819356
グランヴェルデ蓮池,大分県大分市大字城原,大在駅,"ＪＲ日豊本線/大在駅 歩12分
大分バス/曙台入り口停 歩3分",築11年,2階,1LDK,36m2,5万円,https://suumo.jp/chintai/jnc_000098329238/?bc=100437007584,11,36.0,5.0,12,大在駅,0.1388888888888889,-1.9740810260220096
アンジュ・ココ,大分県大分市大字三佐,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩24分,築11年,2階,2DK,50.33m2,4.85万円,https://suumo.jp/chintai/jnc_000099106448/?bc=100441669021,11,50.33,4.85,24,鶴崎駅,0.09636399761573614,-2.3396226158388767
ヴェルジュ．Ｓ２,大分県大分市大字曲,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築15年,2階,2DK,45.39m2,4.9万円,https://suumo.jp/chintai/jnc_000099151374/?bc=100442283733,15,45.39,4.9,10,滝尾駅,0.10795329367702138,-2.2260566113517934
プランドールＭＥＲＡ,大分県大分市大字片島,,バス/滝尾保養院前 歩4分,築12年,2階,2LDK,51.66m2,5.8万円,https://suumo.jp/chintai/jnc_000099072108/?bc=100442993435,12,51.66,5.8,4,,0.11227255129694154,-2.186825870115321
オレンジハイツ２,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩25分
ＪＲ日豊本線/鶴崎駅 歩44分
ＪＲ日豊本線/坂ノ市駅 歩61分",築17年,2階,1LDK,46.49m2,4.65万円,https://suumo.jp/chintai/jnc_000097870678/?bc=100433144205,17,46.49,4.65,25,大在駅,0.10002151000215101,-2.3023700161032283
プチハウスII,大分県大分市大字松岡,中判田駅,"ＪＲ豊肥本線/中判田駅 バス7分 (バス停)東芝工場正門 歩2分
ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)東芝工場正門 歩2分",築26年,2階,2LDK,52m2,4.5万円,https://suumo.jp/chintai/jnc_000099151375/?bc=100442679642,26,52.0,4.5,2,中判田駅,0.08653846153846154,-2.4471663218051534
サンシャイン７,大分県大分市須賀２,大在駅,ＪＲ日豊本線/大在駅 歩28分,築18年,3階,3DK,60.97m2,6万円,https://suumo.jp/chintai/jnc_000014857625/?bc=100364600777,18,60.97,6.0,28,大在駅,0.09840905363293423,-2.3186224706916696
Sungrace Casa,大分県大分市高城本町,高城駅,"ＪＲ日豊本線/高城駅 歩4分
ＪＲ日豊本線/牧駅 歩26分",築10年,6階,1LDK,32.33m2,5万円,https://suumo.jp/chintai/jnc_000098866316/?bc=100441857103,10,32.33,5.0,4,高城駅,0.1546551190844417,-1.8665576793032412
ブルースカイ,大分県大分市大在北４,大在駅,"ＪＲ日豊本線/大在駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩49分
ＪＲ日豊本線/坂ノ市駅 歩57分",築13年,2階,2LDK,51.66m2,5.6万円,https://suumo.jp/chintai/jnc_000046634738/?bc=100417406581,13,51.66,5.6,21,大在駅,0.10840108401084012,-2.221917189926591
ヴィータセレーナ西大道,大分県大分市西大道１,大分駅,"ＪＲ久大本線/大分駅 歩17分
ＪＲ豊肥本線/大分駅 歩17分
ＪＲ日豊本線/大分駅 歩17分",築9年,5階,1LDK,31.5m2,5.6万円,https://suumo.jp/chintai/jnc_000099502742/?bc=100444343051,9,31.5,5.6,17,大分駅,0.17777777777777776,-1.7272209480904839
コンフォート小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩18分
大分バス/小池原 歩1分",築10年,2階,1LDK,33.13m2,4.9万円,https://suumo.jp/chintai/jnc_000049080794/?bc=100432992187,10,33.13,4.9,18,高城駅,0.14790220344099003,-1.9112040111952235
アライブ・ＴII,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 バス4分 (バス停)小池原 歩4分
ＪＲ日豊本線/大分駅 バス27分 (バス停)小池原 歩4分",築9年,2階,1LDK,36.41m2,4.8万円,https://suumo.jp/chintai/jnc_000099390710/?bc=100396847154,9,36.41,4.8,4,高城駅,0.1318319143092557,-2.026227544273497
プリンセス　フィールズ,大分県大分市汐見２,大在駅,"ＪＲ日豊本線/大在駅 歩24分
ＪＲ日豊本線/坂ノ市駅 バス5分 (バス停)浜東 歩1分
ＪＲ日豊本線/鶴崎駅 バス16分 (バス停)浜東 歩1分",築13年,2階,2LDK,61m2,5.45万円,https://suumo.jp/chintai/jnc_000097667514/?bc=100430315963,13,61.0,5.45,24,大在駅,0.08934426229508197,-2.4152582554981588
ロゼア鶴崎WEST,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩12分,築1年,5階,1LDK,42.5m2,5.3万円,https://suumo.jp/chintai/jnc_000096380474/?bc=100442127013,1,42.5,5.3,12,鶴崎駅,0.12470588235294117,-2.081797255372295
ＥＶＡ－０１,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/鶴崎駅 歩45分",築15年,2階,2LDK,60.33m2,5.5万円,https://suumo.jp/chintai/jnc_000099502735/?bc=100441963491,15,60.33,5.5,23,大在駅,0.09116525774904691,-2.395081400214245
シーウィンド1,大分県大分市大在浜２,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/坂ノ市駅 歩31分
ＪＲ日豊本線/鶴崎駅 歩63分",築17年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000016280028/?bc=100437311675,17,41.04,4.8,18,大在駅,0.11695906432748537,-2.145931282948669
エンカウンター,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩14分,築19年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000052207599/?bc=100433331941,19,41.04,4.8,14,大在駅,0.11695906432748537,-2.145931282948669
エンシーナ,大分県大分市仲西町１,高城駅,"ＪＲ日豊本線/高城駅 歩18分
ＪＲ日豊本線/牧駅 歩33分
ＪＲ日豊本線/鶴崎駅 歩36分",築28年,3階,3DK,51.73m2,4.5万円,https://suumo.jp/chintai/jnc_000083783183/?bc=100336412357,28,51.73,4.5,18,高城駅,0.08699014111734003,-2.44196048723915
マリアージュ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩13分
ＪＲ日豊本線/高城駅 歩43分
ＪＲ日豊本線/大在駅 歩54分",築8年,2階,1LDK,44.89m2,5.2万円,https://suumo.jp/chintai/jnc_000028033357/?bc=100435877256,8,44.89,5.2,13,鶴崎駅,0.11583871686344398,-2.155556427206459
カルム市原Ａ,大分県大分市大字葛木,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス12分 (バス停)葛木入口 歩4分,築15年,2階,2DK,45.39m2,4.6万円,https://suumo.jp/chintai/jnc_000099298329/?bc=100443918095,15,45.39,4.6,4,鶴崎駅,0.10134390834985679,-2.289235512973325
エミネスタウンＳーII,大分県大分市横尾東町４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)西寺 歩3分
ＪＲ日豊本線/大分駅 バス29分 (バス停)葛木入口 歩14分",築14年,2階,1LDK,42.19m2,4.75万円,https://suumo.jp/chintai/jnc_000099215304/?bc=100443060572,14,42.19,4.75,3,鶴崎駅,0.11258592083432094,-2.1840386080896974
ドゥーメゾン,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000097316968/?bc=100430974945,20,40.06,4.65,20,大分大学前駅,0.11607588617074388,-2.1535111106384073
ＪＲ豊肥本線 大分大学前駅 2階建 築20年,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000099433752/?bc=100444067567,20,40.06,4.65,20,大分大学前駅,0.11607588617074388,-2.1535111106384073
ニューサカエールI,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 バス3分 (バス停)久保 歩10分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)久保 歩10分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)久保 歩10分",築17年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000098354796/?bc=100424306287,17,58.86,5.4,10,大在駅,0.09174311926605505,-2.388762789235098
グラシア寺崎,大分県大分市寺崎町２,高城駅,"ＪＲ日豊本線/高城駅 歩16分
大分バス/山津 歩3分",築6年,3階,1LDK,39.43m2,5.8万円,https://suumo.jp/chintai/jnc_000098915535/?bc=100440208799,6,39.43,5.8,16,高城駅,0.14709611970580777,-1.916669030337162
サニーガーデンＢ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,2LDK,57.07m2,5.3万円,https://suumo.jp/chintai/jnc_000098850944/?bc=100439653151,10,57.07,5.3,28,坂ノ市駅,0.09286840721920449,-2.3765717639905404
エクセル野田,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/高城駅 歩33分
ＪＲ久大本線/大分駅 歩35分",築30年,4階,2LDK,54.86m2,5.1万円,https://suumo.jp/chintai/jnc_000099369634/?bc=100263547494,30,54.86,5.1,14,牧駅,0.0929639081297849,-2.375543945779177
クラージュ　ＫｏＭｅＴａＫｅ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/小池原 歩4分",築9年,2階,1LDK,36m2,4.8万円,https://suumo.jp/chintai/jnc_000014853621/?bc=100437715762,9,36.0,4.8,22,高城駅,0.13333333333333333,-2.0149030205422647
エトワールＯＺ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩19分,築23年,2階,2LDK,59.39m2,5万円,https://suumo.jp/chintai/jnc_000089763054/?bc=100434350121,23,59.39,5.0,19,大在駅,0.08418925745074929,-2.4746879495936684
イーメゾンもりおかI,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩9分,築9年,2階,2LDK,57.21m2,5.9万円,https://suumo.jp/chintai/jnc_000098850955/?bc=100439721000,9,57.21,5.9,9,滝尾駅,0.10312882363223214,-2.2717763573687635
スターテラス　小池原II,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
大分バス/小池原停 歩1分",築16年,2階,1LDK,44.52m2,4.9万円,https://suumo.jp/chintai/jnc_000080879488/?bc=100436313121,16,44.52,4.9,20,高城駅,0.11006289308176101,-2.206703321290763
ファミリア　フェリーチェ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩32分
ＪＲ日豊本線/牧駅 歩42分",築13年,2階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000097304807/?bc=100392803593,13,38.25,4.9,20,高城駅,0.1281045751633987,-2.054908355155964
Ｈｏｐｅ花江川,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩20分,築17年,2階,2LDK,53.59m2,6.2万円,https://suumo.jp/chintai/jnc_000098850991/?bc=100434271208,17,53.59,6.2,20,大在駅,0.11569322634819929,-2.156813191455713
ベルセレーノ　Ｂ,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩7分,築21年,2階,2LDK,51.67m2,5.2万円,https://suumo.jp/chintai/jnc_000090867099/?bc=100434350456,21,51.67,5.2,7,鶴崎駅,0.10063866847300174,-2.296218716711712
ひまわり,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築18年,2階,1LDK,42.8m2,4.7万円,https://suumo.jp/chintai/jnc_000098539232/?bc=100437458973,18,42.8,4.7,12,大在駅,0.10981308411214954,-2.208975593871738
シャーメゾン・ハクサン　B棟,大分県大分市坂ノ市南２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩12分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000097079093/?bc=100426198613,20,57.81,5.6,12,坂ノ市駅,0.09686905379692094,-2.3343951733532813
アールズ　ハイム,大分県大分市向原西２,高城駅,"ＪＲ日豊本線/高城駅 歩22分
ＪＲ日豊本線/牧駅 歩43分
ＪＲ日豊本線/鶴崎駅 歩50分",築5年,3階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000062748117/?bc=100438480255,5,38.25,4.9,22,高城駅,0.1281045751633987,-2.054908355155964
サン・プリムローズII,大分県大分市大在北４,大在駅,ＪＲ日豊本線/大在駅 歩17分,築8年,2階,1LDK,45.09m2,5.15万円,https://suumo.jp/chintai/jnc_000099020088/?bc=100440947530,8,45.09,5.15,17,大在駅,0.11421601241960523,-2.169663777757348
サニーフィールズ寒田I,大分県大分市大字寒田,敷戸駅,ＪＲ豊肥本線/敷戸駅 歩14分,築10年,2階,1LDK,50.09m2,5.3万円,https://suumo.jp/chintai/jnc_000098398213/?bc=100437460058,10,50.09,5.3,14,敷戸駅,0.10580954282291874,-2.2461145668114493
パルコ－ト,大分県大分市志村１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩22分
ＪＲ日豊本線/大在駅 歩28分
ＪＲ日豊本線/高城駅 歩58分",築21年,2階,2LDK,57.22m2,5万円,https://suumo.jp/chintai/jnc_000086019807/?bc=100411843044,21,57.22,5.0,22,鶴崎駅,0.08738203425375743,-2.437465575187864
フローリッシュＢＭ,大分県大分市大字寒田,大分大学前駅,ＪＲ豊肥本線/大分大学前駅 歩21分,築18年,3階,1LDK,45.03m2,4.4万円,https://suumo.jp/chintai/jnc_000099457250/?bc=100444038646,18,45.03,4.4,21,大分大学前駅,0.09771263602043083,-2.325724393389265
サンシャイン王子原III,大分県大分市横尾東町２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)中筋 歩3分,築15年,2階,2LDK,57.76m2,5.8万円,https://suumo.jp/chintai/jnc_000099495043/?bc=100444774212,15,57.76,5.8,3,鶴崎駅,0.10041551246537396,-2.298438577032197
グリーンティアラB,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩19分
ＪＲ日豊本線/鶴崎駅 歩51分",築20年,2階,2DK,50.12m2,5.2万円,https://suumo.jp/chintai/jnc_000016310779/?bc=100353108889,20,50.12,5.2,19,大在駅,0.10375099760574621,-2.2657615044404857
ホームズ　ソレイユＢ,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩2分
ＪＲ日豊本線/高城駅 歩43分",築20年,2階,2LDK,57.22m2,5.4万円,https://suumo.jp/chintai/jnc_000097636427/?bc=100430109817,20,57.22,5.4,2,鶴崎駅,0.09437259699405803,-2.3605045340517354
夢　ストーク三代Ｂ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩23分,築18年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000097164942/?bc=100426735666,18,58.86,5.4,23,大在駅,0.09174311926605505,-2.388762789235098
カサベルデ政所,大分県大分市大字政所,大在駅,"ＪＲ日豊本線/大在駅 歩10分
ＪＲ日豊本線/鶴崎駅 バス14分 (バス停)中向 歩9分
ＪＲ日豊本線/大分駅 バス38分 (バス停)中向 歩9分",築31年,2階,2LDK,54.81m2,4.7万円,https://suumo.jp/chintai/jnc_000099205631/?bc=100442544472,31,54.81,4.7,10,大在駅,0.08575077540594782,-2.456310150342012
エル　アヴェニール曙台,大分県大分市曙台１,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/坂ノ市駅 歩37分
ＪＲ日豊本線/鶴崎駅 歩66分",築9年,2階,1LDK,50.07m2,4.9万円,https://suumo.jp/chintai/jnc_000098539228/?bc=100430750925,9,50.07,4.9,23,大在駅,0.09786299181146396,-2.3241868212252723
プロムナード里１,大分県大分市小佐井１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩19分
ＪＲ日豊本線/大在駅 歩42分",築16年,2階,1LDK,45.72m2,4.55万円,https://suumo.jp/chintai/jnc_000098539236/?bc=100430391548,16,45.72,4.55,19,坂ノ市駅,0.0995188101487314,-2.307408605963751
サンリット　I,大分県大分市三川下１,高城駅,"ＪＲ日豊本線/高城駅 バス20分 (バス停)三ッ川下 歩5分
ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)三ッ川下 歩5分
ＪＲ日豊本線/牧駅 バス25分 (バス停)三ッ川下 歩5分",築17年,2階,2LDK,58.86m2,5.7万円,https://suumo.jp/chintai/jnc_000098354791/?bc=100427376598,17,58.86,5.7,5,高城駅,0.09683995922528033,-2.3346955679648222
リバーハイムA,大分県大分市大字東上野,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩29分,築23年,2階,2LDK,58.98m2,4.2万円,https://suumo.jp/chintai/jnc_000093920016/?bc=100423523857,23,58.98,4.2,29,坂ノ市駅,0.07121057985757885,-2.6421138780978075
Ｓｗｅｅｔ　Ｍｅｍｏｒｙ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩11分,築28年,2階,2LDK,55.98m2,5.3万円,https://suumo.jp/chintai/jnc_000053773228/?bc=100444358374,28,55.98,5.3,11,滝尾駅,0.09467667023937121,-2.3572876635292315
ラ・バレンシア,大分県大分市須賀２,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)須賀 歩7分
ＪＲ日豊本線/坂ノ市駅 バス14分 (バス停)須賀 歩7分",築19年,2階,1LDK,46.49m2,4.5万円,https://suumo.jp/chintai/jnc_000091501003/?bc=100407735466,19,46.49,4.5,20,大在駅,0.09679500967950097,-2.335159838926219
ＨＡＰＰＩＮＥＳＳ,大分県大分市大字森町,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩20分
ＪＲ日豊本線/高城駅 歩46分
ＪＲ日豊本線/大在駅 歩59分",築13年,3階,2LDK,60.97m2,6.1万円,https://suumo.jp/chintai/jnc_000050401566/?bc=100429268485,13,60.97,6.1,20,鶴崎駅,0.10004920452681647,-2.302093168740459
ミニョンガーデン,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩14分
ＪＲ日豊本線/大分駅 バス20分 (バス停)滝尾校区公民館前 歩5分",築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099390716/?bc=100413890657,9,49.14,5.4,14,滝尾駅,0.1098901098901099,-2.2082744135228043
レジデンス片島I,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築30年,3階,3DK,66.22m2,5万円,https://suumo.jp/chintai/jnc_000099507557/?bc=100444358368,30,66.22,5.0,19,滝尾駅,0.07550588945937783,-2.5835446196849996
オーセルII,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩8分,築16年,2階,2LDK,58.48m2,5.9万円,https://suumo.jp/chintai/jnc_000099292290/?bc=100436507794,16,58.48,5.9,8,滝尾駅,0.10088919288645692,-2.293732464529849
ミミヤヒル　Ｃ,大分県大分市大字猪野,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)猪野下 歩3分,築16年,2階,1LDK,37.13m2,4.35万円,https://suumo.jp/chintai/jnc_000099313219/?bc=100443192949,16,37.13,4.35,3,高城駅,0.11715593859412872,-2.144249423088396
ホームズ　コンフォールII,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 バス11分 (バス停)鶴崎駅前 歩7分
ＪＲ日豊本線/大分駅 バス27分 (バス停)鶴崎駅前 歩7分",築11年,2階,1K,30m2,4.5万円,https://suumo.jp/chintai/jnc_000098354780/?bc=100437399845,11,30.0,4.5,6,鶴崎駅,0.15,-1.8971199848858813
リバーサイドそれいゆI,大分県大分市大字下判田,中判田駅,ＪＲ豊肥本線/中判田駅 歩6分,築11年,2階,1LDK,50.12m2,5万円,https://suumo.jp/chintai/jnc_000099345138/?bc=100443411703,11,50.12,5.0,6,中判田駅,0.09976057462090983,-2.304982217593767
エスポワール（小池原）,大分県大分市大字小池原小池原,高城駅,ＪＲ日豊本線/高城駅 歩14分,築20年,2階,1LDK,40.29m2,4.9万円,https://suumo.jp/chintai/jnc_000097929351/?bc=100432609305,20,40.29,4.9,14,高城駅,0.12161826756018865,-2.106868094086675
サンヒルズ,大分県大分市里３,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩34分",築20年,2階,2DK,51.15m2,4.6万円,https://suumo.jp/chintai/jnc_000099361111/?bc=100411498593,20,51.15,4.6,18,坂ノ市駅,0.08993157380254153,-2.4087061889025865
ラ　バレンシア２,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩23分,築10年,2階,1LDK,45.82m2,4.7万円,https://suumo.jp/chintai/jnc_000098168989/?bc=100405311156,10,45.82,4.7,23,坂ノ市駅,0.10257529463116544,-2.2771581683093367
レイコート羽田,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩18分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩37分",築23年,3階,2LDK,63.91m2,5.8万円,https://suumo.jp/chintai/jnc_000099460841/?bc=100439639257,23,63.91,5.8,18,滝尾駅,0.0907526208731028,-2.3996179261098165
コンセールＮＫ,大分県大分市三佐４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩40分
ＪＲ日豊本線/大在駅 歩62分",築20年,8階,1LDK,43.81m2,4.8万円,https://suumo.jp/chintai/jnc_000096746650/?bc=100423849443,20,43.81,4.8,16,鶴崎駅,0.10956402647797306,-2.2112461839119617
