物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名,家賃_per_㎡,log_家賃_per_㎡,log_家賃_per_㎡_pred,残差
レオパレス鶴崎III,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩12分,築19年,2階,1K,22.35m2,4.9万円,https://suumo.jp/chintai/jnc_000099452989/?bc=100441233737,19,22.35,4.9,12,鶴崎駅,0.2192393736017897,-1.517591115942997,-1.9709220469648705,0.4533309310218736
ベレオ西大道,大分県大分市西大道２,大分駅,"ＪＲ日豊本線/大分駅 歩17分
ＪＲ久大本線/古国府駅 歩30分
ＪＲ久大本線/南大分駅 歩29分",築4年,3階,2LDK,65.64m2,13.3万円,https://suumo.jp/chintai/jnc_000079028742/?bc=100429187696,4,65.64,13.3,17,大分駅,0.2026203534430225,-1.596421230994182,-2.0120870540098186,0.4156658230156365
リファレンス城崎,大分県大分市城崎町１,大分駅,"ＪＲ日豊本線/大分駅 歩19分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩33分",築35年,14階,2LDK,72m2,9.6万円,https://suumo.jp/chintai/jnc_000095578031/?bc=100438632371,35,72.0,9.6,19,大分駅,0.1333333333333333,-2.0149030205422647,-2.3372810470397885,0.3223780264975238
若竹ビル,大分県大分市府内町２,大分駅,ＪＲ日豊本線/大分駅 歩7分,築62年,4階,1LDK,66m2,7.5万円,https://suumo.jp/chintai/jnc_000099628822/?bc=100445045003,62,66.0,7.5,7,大分駅,0.1136363636363636,-2.174751721484161,-2.491591319156157,0.3168395976719962
ディアスクレストＢ,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 バス7分 (バス停)横塚東 歩3分
ＪＲ日豊本線/大分駅 バス43分 (バス停)横塚東 歩3分",築28年,2階,2LDK,50.69m2,6万円,https://suumo.jp/chintai/jnc_000086051319/?bc=100437399468,28,50.69,6.0,18,坂ノ市駅,0.1183665417242059,-2.133969183256203,-2.440516436294601,0.3065472530383979
